@RELATION vs
@ATTRIBUTE char1 NUMERIC
@ATTRIBUTE char2 NUMERIC
@ATTRIBUTE char3 NUMERIC
@ATTRIBUTE char4 NUMERIC
@ATTRIBUTE char5 NUMERIC
@ATTRIBUTE char6 NUMERIC
@ATTRIBUTE char7 NUMERIC
@ATTRIBUTE char8 NUMERIC
@ATTRIBUTE char9 NUMERIC
@ATTRIBUTE char10 NUMERIC
@ATTRIBUTE char11 NUMERIC
@ATTRIBUTE class        {c1,c2}
@DATA
2.014763,1.170943,0.335424,0.469508,17.034777,54.953262,92.351273,135.559418,130.473404,116.261429,0.032653,c1
2.155172,0.519067,0.236229,0.675318,15.870871,53.332939,132.195190,264.399628,100.219154,61.841389,0.022815,c1
2.028826,0.214310,0.477712,0.452622,14.666203,61.055206,117.263412,155.080872,118.826538,169.485825,0.018750,c1
2.225290,0.483068,0.417551,0.749183,17.203703,110.029434,174.353149,128.386887,62.554390,60.240734,0.022584,c1
2.351249,0.564385,0.219624,0.619524,18.700090,85.135574,174.228683,144.988724,132.076294,97.078926,0.018653,c1
1.887384,0.279854,0.353164,0.534687,12.536894,44.621170,80.430946,192.568451,96.303368,130.666382,0.015263,c1
2.151025,0.310521,0.477041,0.598636,17.628227,69.046089,124.611938,134.221085,73.442955,112.312820,0.025595,c1
2.680168,0.668326,0.051381,0.635432,16.904852,94.286766,161.371033,190.011261,110.567261,94.407295,0.025654,c1
2.468356,0.725749,0.360073,0.618801,18.873320,96.188797,177.910843,180.851837,97.670570,91.232613,0.017170,c1
2.587059,0.292522,0.109942,0.596444,19.709101,85.588272,138.637283,196.410736,90.944336,98.090744,0.013185,c1
2.915696,1.019739,0.323336,0.548903,16.578861,87.513763,159.317291,177.988113,74.603455,120.485695,0.005123,c1
2.184964,0.438796,0.515833,0.662295,13.789289,76.411819,146.700195,201.675369,77.477318,89.210037,0.024823,c1
2.353263,0.467847,0.436830,0.675315,18.077980,48.065590,86.230537,301.368103,165.516006,52.979729,0.000000,c1
1.515925,0.929837,0.670852,0.720619,10.989483,118.297607,188.346802,216.044846,115.135345,63.087193,0.052805,c1
2.840419,0.842956,0.242632,0.362515,19.084002,31.978918,84.513947,189.873459,190.528625,181.727066,0.017422,c1
1.927743,0.276808,0.559683,0.647067,17.714857,28.993044,88.183128,299.416260,192.343628,65.386780,0.008329,c1
2.096749,0.460747,0.498976,0.689498,11.437104,50.262871,100.663528,215.112793,132.203659,53.733566,0.019392,c1
2.274707,0.641468,0.559658,0.830713,19.653023,94.185806,184.185944,354.861816,68.528755,21.313040,0.015306,c1
2.059394,0.333904,0.603662,0.706027,15.620554,74.679344,158.731186,234.140320,87.099510,56.980862,0.017477,c1
2.322664,0.651742,0.473932,0.760423,20.618378,90.611206,146.265289,229.335800,98.349274,36.376057,0.031250,c1
2.061210,0.308607,0.586462,0.734432,19.175856,70.265884,141.111084,289.040710,100.775658,46.535263,0.014841,c1
2.626366,0.719936,0.381638,0.685977,17.690529,44.067783,127.643906,256.847748,149.468002,65.068291,0.037570,c1
2.295199,0.495322,0.194117,0.675234,19.005705,86.619179,145.962036,242.478119,117.300697,65.819443,0.024166,c1
2.202189,0.381883,0.506020,0.780840,17.075340,99.308052,204.241013,262.032776,74.046120,36.343555,0.023573,c1
2.387098,0.620569,0.487510,0.628062,17.900139,47.631004,120.890778,218.211166,189.929169,61.169884,0.008045,c1
1.694989,0.456177,0.467501,0.555845,13.379127,67.480148,102.793732,276.052338,117.232162,121.021667,0.023111,c1
2.172971,0.493078,0.462624,0.733028,16.608814,76.923218,156.920120,278.360138,87.570274,54.307896,0.021832,c1
1.772562,0.083937,0.619898,0.648655,15.754179,79.387489,114.082214,265.579926,142.329620,75.339287,0.018477,c1
2.441082,0.685851,0.187602,0.735661,15.541841,51.587593,169.527252,231.531662,191.992783,34.507603,0.004312,c1
2.717884,0.789585,0.275615,0.513201,12.173018,64.318214,135.740616,214.597916,128.312698,138.130386,0.019802,c1
2.687876,0.862980,0.309696,0.739914,20.128109,51.119019,148.625854,349.191223,65.158646,48.978077,0.011019,c1
1.965149,0.240529,0.568204,0.463547,13.872708,79.373199,152.467422,154.770889,121.257317,145.895844,0.030369,c1
2.202962,0.263745,0.468668,0.714736,19.962923,119.638359,203.857056,185.515701,72.016052,73.950455,0.022287,c1
2.148098,0.574687,0.590275,0.660134,16.077145,135.556595,192.485382,163.569214,87.268005,84.675064,0.006499,c1
1.944225,0.172472,0.426242,0.378845,13.795594,41.762386,76.889145,202.883789,204.222397,127.038124,0.021114,c1
2.183213,0.016789,0.280577,0.580104,20.712870,83.027451,130.049515,134.039948,137.612610,102.817329,0.022242,c1
2.129118,0.234774,0.529929,0.709761,20.907001,70.652817,167.528748,252.415863,89.593704,60.329254,0.018659,c1
2.067839,0.049839,0.419331,0.270569,16.299374,87.294609,117.958763,113.137329,79.340973,222.514053,0.065817,c1
2.644448,0.823745,0.419667,0.515688,15.012851,71.693611,132.789337,135.285110,89.362869,150.462814,0.015982,c1
2.160026,0.350406,0.503980,0.393419,18.189156,71.179764,137.582642,148.815140,70.135796,184.016418,0.027155,c1
2.807023,0.856861,0.110150,0.841794,13.550107,165.913605,272.513611,174.630981,43.126232,28.838568,0.020489,c1
2.248926,0.517342,0.441596,0.568205,21.030991,87.581116,141.761536,157.430695,152.104080,106.562469,0.024416,c1
2.167256,0.233348,0.461817,0.436978,14.751511,58.096855,108.465668,181.590103,132.035919,156.949219,0.057002,c1
5.460209,2.445993,0.850294,0.479867,18.852797,43.488262,89.243187,189.394669,165.162567,99.685524,0.058455,c1
2.016186,0.125529,0.572263,0.421110,17.045858,26.760612,47.597645,160.093521,235.590454,102.584114,0.009929,c1
2.230811,0.387708,0.491610,0.602109,15.617294,18.118322,72.237297,314.943970,202.044449,84.756981,0.015005,c1
2.548769,0.412303,0.219880,0.544290,15.180996,125.760620,148.670715,128.805145,138.454529,132.544556,0.074222,c1
1.685590,0.330763,0.676643,0.312774,16.730421,16.768730,70.693245,212.310867,141.291748,209.701141,0.012981,c1
2.075731,0.510057,0.627401,0.204445,13.572104,35.777954,43.361282,122.961449,234.634399,238.369659,0.019382,c1
1.935990,0.128409,0.604062,0.423866,20.708084,20.064545,68.047691,277.944305,134.962799,167.212051,0.040671,c1
2.408911,0.760728,0.530273,0.545640,17.922319,51.167084,79.420013,239.749008,134.439880,114.133781,0.011753,c1
2.278643,0.520557,0.587594,0.312931,15.739142,26.822622,54.803276,106.861618,252.389084,167.880936,0.026411,c1
2.202378,0.412045,0.498742,0.588323,16.406528,58.048012,122.036995,153.378876,154.520065,81.799400,0.021475,c1
2.178395,0.427395,0.592795,0.569656,20.329878,55.485435,109.732765,252.316589,160.132294,90.002151,0.032438,c1
2.232904,0.245354,0.409070,0.739436,18.167986,89.049843,180.269409,197.413925,170.651321,38.095814,0.009673,c1
2.635949,0.372710,0.204663,0.586619,20.614958,61.306435,123.167908,116.427818,231.210938,65.866348,0.013460,c1
2.977723,1.100628,0.258958,0.758914,18.441149,48.621632,189.802704,250.780319,70.514809,39.301868,0.005924,c1
2.113348,0.636770,0.612529,0.633856,14.874841,31.349852,119.081268,308.804504,162.599167,77.033813,0.012770,c1
2.691510,0.607318,0.390429,0.696603,18.392485,63.671642,151.486572,228.809448,146.386932,45.842121,0.011621,c1
2.327383,0.523420,0.427917,0.731561,21.797031,102.962708,182.785004,230.704453,105.276497,52.884071,0.028302,c1
